Classification,Average PnL,Median PnL,Total PnL,Number of Trades,Win Rate
Extreme Fear,34.53786207897196,0.0,739110.24849,21400,0.370607476635514
Extreme Greed,67.89286133909282,0.0,2715171.310673,39992,0.46494298859771954
Fear,54.2903996254993,0.0,3357155.441642,61837,0.42076750165758364
Greed,42.74355948851957,0.0,2150129.272951,50303,0.38482794266743536
Neutral,34.30771839807886,0.0,1292920.67555,37686,0.3969909250119408
